songid,name,artist,year,genre,lyrics
0,The Box,Roddy Ricch,2019,trap,pullin out the coupe at the lot told em fuck 12 fuck swat bustin all the bales out the box i just hit a lick with the box had to put the stick in a box mmh pour up the whole damn seal ima get lazy i got the mojo deals we been trappin like the 80s she sucked a nigga soul got the cash app told em wipe a nigga nose say slatt slatt i wont never sell my soul and i can back that and i really wanna know where you at at i was out back where the stash at cruise the city in a bulletproof cadillac skrrt cause i know these niggas after where the bag at yeah gotta move smarter gotta move harder nigga try to get me for my water ill lay his ass down on my son on my daughter i had the draco with me dwayne carter lotta niggas out here playin aint ballin i done put my whole arm in the rim vince carter yeah and i know probably get a key for the quarter shawty barely seen in double cs i bought em got a bitch thats looking like aaliyah she a model i got the pink slip all my whips is keyless compton im about to get the key to the city patek like the sea forget it
1,Perfect Time,Roddy Ricch,2019,trap,peanut butter seats came perfect time rich but im still ducking one time i seen the light then i climbed in had to take em out we aint gon dine in shawty done fell in love with all my diamonds but everybody change on you like the seasons yeah sippin 1942 don julio i aint got time for all these eyes and these groupie hoes late night ive been cruisin down the interstate late night ive been thinkin a lot of niggas hate told my dawg lets pour tons of ace if he talkin out his lip we gotta give cuz a taste i cant let no niggas mock my name especially when these lil niggas see me as reputable and the ogs respect me that done came out my section we just bought cullinan just to maintain i talk to him my brother nem he on the same thang we just tryna motivate bought the ap show the face feel like im a zoe today feel like im a woe today i was in miami with a bitch gave me cold face she had this dick on her noseplate peanut butter seats came perfect time rich but im still ducking one time i seen the light then i climbed in
2,Moonwalkin,Roddy Ricch,2019,trap,felt like michael jackson moonwalkin smooth criminal smooth smooth talkin yeah i put some ice on top me just to cool off i got my runners on been trappin im a boss hit that booty on the trip and make her pussy drip pussy designer she fuck with fifth she like to ride round on top the dick i got diamonds eliantte bathing ape like im harambe shake your head at a real nigga roddy ricch i get figures ben roethlisberger steeler dope chain like a caterpillar i got tennis like seren i throw twenty thousand in your jean for a rainy day hop out the mercedes yeah he lay down like a lazy day i got crack like a eighty baby good times like jj
3,Bluecheese,Roddy Ricch,2022,trap,posted up with yeezy got the chain on my rolls royce running up a mil too easy i aint got no choice did a festival run and i damn near lost my voice they aint never let me in this bitch i kick the door if he a rat then i aint never gon trust him i keep blue cheese blue cheese blue cheese blue cheese inside the duffle she pull up in a yellow lamborghini call her butter see roddy corporate but i run with niggas out the gutter woohoo i been working so hard that i just missed supper woohoo know some niggas that keep bricks inside a choppa woohoo all my diamonds hit so hard i got a concussion woohoo i be fucking all the bitches that he cuffing woohoo i was out in miami thats two hours from orlando had to get dubai money im sliding on the sando we recruited niggas out the army with the ammo fucked her in a penthouse suite i better light a candle i double dutch promethazine but dont be in my business we might fly out to yo city and yes we brought some twins with us my man be so damn high he geeky geeky brought the triple cup dont speak on my name we discipline the nigga dissing us
4,ABC,The Jackson 5,1970,soul,you went to school to learn girl things you never knew before like i before e except after c and why 2 plus 2 makes 4 now now now im gonna teach you teach you teach you all about love girl all about love sit yourself down take a seat all you gotta do is repeat after me a b c its easy as 1 2 3 as simple as do re mi a b c 1 2 3 baby you and me girl come on and love me just a little bit im gonna teach you how to sing it out come on come on come on let me tell you what its all about reading writing arithmatic are the branches of the learning tree but without the roots of love everyday girl your education aint complete teachers gonna show you shes gonna show you how to get an a na na na na na na how to spell me you add the two listen to me baby thats all you got to do oh a b c its easy as 1 2 3 as simple as do re mi a b c 1 2 3 baby you and me girl a b c its easy its like counting up to 3 singing simple melodies thats how easy love can be singing simple melodies 1 2 3 baby you and me sit down girl i think i love ya no get up girl show me what you can do shake it shake it baby come on now shake it shake it baby oooh oooh shake it shake it baby yeah 1 2 3 baby oooh oooh a b c baby ah ah do re mi baby wow thats how easy love can be a b c its easy its like counting up to 3 singing simple melodies thats how easy love can be teachers gonna teach you how to sing it out sing it out sing it out baby
5,Boys Dont Cry,The Cure,1979,rock,i would say im sorry if i thought that it would change your mind but i know that this time i have said too much been too unkind i tried to laugh about it cover it all up with lies i tried to laugh about it hiding the tears in my eyes cause boys dont cry boys dont cry i would break down at your feet and beg forgiveness plead with you but i know that its too late and now theres nothing i can do so i try to laugh about it cover it all up with lies i try to laugh about it hiding the tears in my eyes cause boys dont cry boys dont cry i would tell you that i loved you if i thought that you would stay but i know that its no use and youve already gone away misjudged your limits pushed you too far took you for granted thought that you needed me more more more now i would do most anything to get you back by my side but i just keep on laughing hiding the tears in my eyes cause boys dont cry boys dont cry boys dont cry
6,Under Pressure,Queen & David Bowie,1981,rock,mmnoombadeh doomboombabeh doobooboombabehbeh pressure pushin down on me pressin down on you no man ask for under pressure that brings a building down splits a family in two puts people on streets mmbababeh mmbababeh deedayda eedayda thats okay thats the terror of knowing what this world is about watchin some good friends screamin let me out pray tomorrow gets me higher pressure on people people on streets dadada mmmm dadadababum okay chippin around kick my brains round the floor these are the days it never rains but it pours eedohbabuh eedabababop mmbobop behlup people on streets eedadeedaday people on streets eedadeedadeedadeeda its the terror of knowing what this world is about watching some good friends screaming let me out pray tomorrow gets me higher higher high pressure on people people on streets turned away from it all like a blind man sat on the fence but it dont work keep comin up with love but its so slashed and torn why why why love insanity laughs under pressure were breaking cant we give ourselves one more chance why cant we give love that one more chance why cant we give love give love give love give love give love give love give love give love cause loves such an oldfashioned word and love dares you to care for the people on the edge of the night and love dares you to change our way of caring about ourselves this is our last dance this is our last dance this is ourselves under pressure under pressure pressure
7,Every Breath You Take,The Police,1983,rock,every breath you take and every move you make every bond you break every step you take ill be watching you every single day and every word you say every game you play every night you stay ill be watching you oh cant you see you belong to me how my poor heart aches with every step you take every move you make and every vow you break every smile you fake every claim you stake ill be watching you since youve gone ive been lost without a trace i dream at night i can only see your face i look around but its you i cant replace i feel so cold and i long for your embrace i keep crying baby baby please mm mm mm mm mm mm mm oh cant you see you belong to me how my poor heart aches with every step you take every move you make and every vow you break every smile you fake every claim you stake ill be watching you every move you make every step you take ill be watching you ill be watching you every breath you take every move you make every bond you break every step you take ill be watching you every single day every word you say every game you play every night you stay ill be watching you every move you make every vow you break every smile you fake every claim you stake ill be watching you every single day every word you say every game you play every night you stay ill be watching you every breath you take every move you make every bond you break every step you take ill be watching you every single day every word you say every game you play every night you stay ill be watching you every move you make every vow you break every smile you fake every claim you stake ill be watching you every single day every word you say every game you play every night you stay ill be watching you
8,Smells Like Teen Spirit,Nirvana,1991,rock,load up on guns bring your friends its fun to lose and to pretend shes over bored and selfassured oh no i know a dirty word hello hello hello how low hello hello hello how low hello hello hello how low hello hello hello with the lights out its less dangerous here we are now entertain us i feel stupid and contagious here we are now entertain us a mulatto an albino a mosquito my libido yeah hey yeah im worse at what i do best and for this gift i feel blessed our little group its always been and always will until the end hello hello hello how low hello hello hello how low hello hello hello how low hello hello hello with the lights out its less dangerous here we are now entertain us i feel stupid and contagious here we are now entertain us a mulatto an albino a mosquito my libido yeah hey yeah and i forget just why i taste oh yeah i guess it makes me smile i found it hard its hard to find oh well whatever never mind hello hello hello how low hello hello hello how low hello hello hello how low hello hello hello with the lights out its less dangerous here we are now entertain us i feel stupid and contagious here we are now entertain us a mulatto an albino a mosquito my libido a denial a denial a denial a denial a denial a denial a denial a denial a denial
9,Wonderwall,Oasis,1995,rock,today is gonna be the day that theyre gonna throw it back to you and by now you shouldve somehow realised what you gotta do i dont believe that anybody feels the way i do about you now and backbeat the word is on the street that the fire in your heart is out im sure youve heard it all before but you never really had a doubt i dont believe that anybody feels the way i do about you now and all the roads we have to walk are winding and all the lights that lead us there are blinding there are many things that i would like to say to you but i dont know how because maybe youre gonna be the one that saves me and after all youre my wonderwall today was gonna be the day but theyll never throw it back to you and by now you shouldve somehow realised what youre not to do i dont believe that anybody feels the way i do about you now and all the roads that lead you there were winding and all the lights that light the way are blinding there are many things that i would like to say to you but i dont know how i said maybe youre gonna be the one that saves me and after all youre my wonderwall i said maybe i said maybe youre gonna be the one that saves me and after all youre my wonderwall i said maybe i said maybe youre gonna be the one that saves me saves me youre gonna be the one that saves me saves me youre gonna be the one that saves me saves me
